# Wavelength [nm]	Flux [erg s-1 cm-2 nm-1]
1.98500e+02	3.07766e+05
1.99500e+02	3.34253e+05
2.00500e+02	3.66703e+05
2.01500e+02	4.07982e+05
2.02500e+02	4.05208e+05
2.03500e+02	4.66872e+05
2.04500e+02	5.17258e+05
2.05500e+02	5.35748e+05
2.06500e+02	5.50078e+05
2.07500e+02	6.41603e+05
2.08500e+02	7.23421e+05
2.09500e+02	1.04006e+06
2.10500e+02	1.39415e+06
2.11500e+02	1.70200e+06
2.12500e+02	1.54576e+06
2.13500e+02	1.47458e+06
2.14500e+02	2.07365e+06
2.15500e+02	1.69322e+06
2.16500e+02	1.58875e+06
2.17500e+02	1.56888e+06
2.18500e+02	2.27196e+06
2.19500e+02	2.33945e+06
2.20500e+02	2.39954e+06
2.21500e+02	1.66502e+06
2.22500e+02	2.43236e+06
2.23500e+02	3.20016e+06
2.24500e+02	2.85578e+06
2.25500e+02	2.51510e+06
2.26500e+02	1.84576e+06
2.27500e+02	1.77365e+06
2.28500e+02	2.62697e+06
2.29500e+02	2.26318e+06
2.30500e+02	2.73144e+06
2.31500e+02	2.26919e+06
2.32500e+02	2.54838e+06
2.33500e+02	2.11063e+06
2.34500e+02	1.68814e+06
2.35500e+02	2.74623e+06
2.36500e+02	2.15732e+06
2.37500e+02	2.61356e+06
2.38500e+02	1.76903e+06
2.39500e+02	2.14576e+06
2.40500e+02	1.95023e+06
2.41500e+02	2.34453e+06
2.42500e+02	3.56395e+06
2.43500e+02	3.15532e+06
2.44500e+02	3.05732e+06
2.45500e+02	2.35516e+06
2.46500e+02	2.37319e+06
2.47500e+02	2.76426e+06
2.48500e+02	2.12034e+06
2.49500e+02	2.72450e+06
2.50500e+02	2.87889e+06
2.51500e+02	2.16749e+06
2.52500e+02	1.90170e+06
2.53500e+02	2.48506e+06
2.54500e+02	2.70555e+06
2.55500e+02	3.90832e+06
2.56500e+02	4.71495e+06
2.57500e+02	5.88906e+06
2.58500e+02	6.26349e+06
2.59500e+02	5.15871e+06
2.60500e+02	4.16765e+06
2.61500e+02	4.10663e+06
2.62500e+02	5.17258e+06
2.63500e+02	7.53930e+06
2.64500e+02	1.26795e+07
2.65500e+02	1.27627e+07
2.66500e+02	1.20971e+07
2.67500e+02	1.24854e+07
2.68500e+02	1.21248e+07
2.69500e+02	1.11911e+07
2.70500e+02	1.37519e+07
2.71500e+02	1.13297e+07
2.72500e+02	9.04161e+06
2.73500e+02	1.03960e+07
2.74500e+02	5.84746e+06
2.75500e+02	8.55162e+06
2.76500e+02	1.23883e+07
2.77500e+02	1.21341e+07
2.78500e+02	7.89985e+06
2.79500e+02	3.61526e+06
2.80000e+02	3.62681e+06
2.80500e+02	4.72882e+06
2.81000e+02	7.93221e+06
2.81500e+02	1.11402e+07
2.82000e+02	1.34792e+07
